x,y,Topic,Words,Size
3.4653394,14.406101,194,industrial | industriales | warehouse | oliverwymandigitalizationintheconstructionindustrywebfinal | industrialization,182
1.7833833,12.613948,195,survey |  |  |  | ,181
3.852545,14.64367,196,headquarters |  |  |  | ,181
3.1626356,11.730706,197,perspective | viewpoint | reflexiones |  | ,180
3.4741738,13.941807,198,employes | employ | employs | employing | workrom,180
1.3631938,11.319875,199,obtained |  |  |  | ,180
4.2484145,14.268178,200,administrative | embasy | embasies |  | ,177
4.2932844,13.336312,201,policy |  |  |  | ,177
1.6236056,10.183776,202,yes |  |  |  | ,177
2.395921,11.947211,203,terms |  |  |  | ,176
2.1369474,12.394277,204,identify |  |  |  | ,176
4.7167635,12.91298,205,search | searches | searching | retrieval | searched,176
3.934656,12.225301,206,initiatives |  |  |  | ,175
6.0341573,10.55839,207,internal | internaly | outer | intractable | internals,174
2.5999727,12.469865,208,index | indexed | indexes | indexing | ,174
5.6309304,12.29807,209,technical | technicaly |  |  | ,173
1.8487631,9.654311,210,therefore |  |  |  | ,173
3.064175,11.3422985,211,consensus |  |  |  | ,173
6.115724,10.074222,212,integration | integral | integraly |  | ,173
3.4201267,12.347055,213,influence | influenced | influencing |  | ,172
2.1259797,12.3851795,214,identified | identifies |  |  | ,172
2.2336662,8.809222,215,second | secondly | lastly | foremost | ,171
0.9833582,10.972572,216,take |  |  |  | ,171
4.868371,13.516022,217,studies | researches |  |  | ,168
4.6320167,12.937419,218,reference | referenced |  |  | ,167
7.330059,9.803515,219,acount | acounts | acounting | acounted | stack,167
3.0542464,12.308486,220,presented |  |  |  | ,167
1.4396185,10.838553,221,online | plaza |  |  | ,167
3.3164499,12.8229065,222,relationship |  |  |  | ,167
5.4537916,13.524553,223,health | unhealthy | hygiene | healthier | cohealth,166
4.622714,14.741991,224,institutional |  |  |  | ,165
2.5057764,12.594019,225,indicators |  |  |  | ,165
4.367845,11.102253,226,stage | stagering | stagered |  | ,164
6.129906,11.929883,227,instrument | instrumento | viola | musique | ,164
3.926014,13.068189,228,team | teamwork | gang | band | spike,163
4.9286866,11.473052,229,hand | hands | handover | handovers | handed,163
6.0142055,12.359732,230,network | networking | lan | networked | poe,162
7.1517763,14.056796,231,city | chicago | town | paucity | brandonburg,162
5.72286,12.483712,232,internet | tethering | tether | browsing | ,162
9.407514,11.460824,233,schol | scholing | schendel | snifing | spiegel,162
4.3966985,11.055866,234,talent | talented |  |  | ,162
2.854213,14.290421,235,market |  |  |  | ,161
5.393073,12.579693,236,digitization | digitisation | digitizationanex |  | ,161
5.597908,12.123966,237,software | humanware | omniflow | ardware | ,161
4.099246,12.161829,238,competitive | competitivechapter |  |  | ,161
4.9380097,13.28488,239,journal | journals | backlog |  | ,160
4.221168,13.617506,240,governance |  |  |  | ,160
5.691792,12.425945,241,ict | icto | ictm |  | ,160
2.9924133,7.793162,242,may |  |  |  | ,160
4.012886,11.6123905,243,methodology | methodologychapter |  |  | ,158
3.9917998,11.257306,244,self | oneself |  |  | ,158
8.3176155,11.666097,245,mintic | mint |  |  | ,157
2.1828938,9.145208,246,many | lot | lots |  | ,156
4.262528,12.738757,247,society | societies | societal |  | ,154
4.070274,11.650889,248,methods |  |  |  | ,154
1.6401073,12.21768,249,defined | redefined |  |  | ,154
4.4400043,10.550027,250,focus | distractions | bluring |  | ,153
4.8924174,13.303808,251,articles |  |  |  | ,150
5.7157784,12.394389,252,icts |  |  |  | ,150
5.5528393,11.95553,253,program | python | java |  | ,150
4.2092886,14.2153635,254,leaders | leadersh |  |  | ,149
2.2235708,11.370142,255,criteria |  |  |  | ,149
1.9067798,10.98112,256,help |  |  |  | ,148
3.090393,12.229191,257,present | presential | presente |  | ,147
4.697804,9.659504,258,established |  |  |  | ,147
4.3119526,14.076824,259,president | presidents | presidential | elected | regan,147
2.404619,9.873084,260,complete | incomplete | completenes | singular | satisfies,147
2.697988,9.727531,261,total | totaly | totals | brutaly | ,147
7.890821,10.920515,262,posible |  |  |  | ,146
6.554259,14.197841,263,center |  |  |  | ,146
2.5502844,11.079068,264,advantage | advantageous |  |  | ,146
2.3575754,11.620319,265,understanding | comprehends | comprehension | understands | ,145
4.263129,14.226128,266,administration | behalf | administrations | administering | administer,145
2.594634,14.529272,267,financial | finances | financialy | finin | financiers,145
9.016342,10.562761,268,tol | anderl |  |  | ,145
2.1915262,10.507934,269,real | realistic | unrealistic | def | ,144
3.1167138,8.4617405,270,since |  |  |  | ,144
3.9284687,11.0851555,271,achieve | achieves | promising |  | ,144
8.790172,9.988044,272,alow | algers | alwyn | alwinkle | aluwag,143
3.317176,10.4632845,273,factor | factores | factorial |  | ,143
5.2058687,10.55156,274,towards |  |  |  | ,142
3.3353062,10.717621,275,systematic | systematicaly | systematics |  | ,141
5.050172,14.791169,276,profesional |  |  |  | ,141
7.654937,10.037503,277,acros | acosta | quadros |  | ,141
1.8038024,10.906348,278,required |  |  |  | ,140
3.8578737,9.259292,279,greater | inequality |  |  | ,140
3.2918763,10.04691,280,measurement | ruler | measurementeror |  | ,139
4.253505,12.668267,281,cultural | multicultural | intercultural | racism | ,139
4.25572,13.902948,282,director | liaison | directs | directing | ,138
4.280071,9.594911,283,advanced | advancing | forefront | sophisticated | primitive,138
2.7494285,10.436653,284,type |  |  |  | ,138
2.187584,11.007243,285,requires | requiring | mandatory | prerequisites | requisite,138
2.5501978,9.309828,286,final | eliminated | finals | finalize | decisively,137
1.338436,10.817705,287,available | pending |  |  | ,136
8.120752,8.621233,288,asociated | asociacin | astructure |  | ,136
1.7301071,10.942067,289,considered | regarded |  |  | ,135
4.9512844,13.532995,290,authors | authorsanex |  |  | ,135
6.3218145,10.8507,291,inteligence | inteligently | inteligencia |  | ,135
1.7998987,9.814943,292,including |  |  |  | ,134
4.925919,13.93573,293,expert |  |  |  | ,134
3.8119993,9.233476,294,low |  |  |  | ,134
4.933046,14.396571,295,competencies | digitalcompetenciesareesentialforempleoyl |  |  | ,134
7.596383,9.373621,296,aplied | aparent |  |  | ,134
3.460842,14.226498,297,manufacturing | carnegie | foundry | manufacture | manufactured,134
3.036908,13.300624,298,promote | advocate | outreach | advocating | advocates,133
0.94931453,10.272553,299,selection | selections | predetermined |  | ,133
9.1092,10.555429,300,ofice | ofices | fornel |  | ,133
3.6501417,13.142972,301,users |  |  |  | ,132
3.9389882,11.810232,302,practices | briefings |  |  | ,132
1.9246465,9.367574,303,open | opened |  |  | ,132
4.4745526,9.210948,304,existing |  |  |  | ,132
3.3741093,14.171936,305,production | sourcing |  |  | ,131
3.3374696,10.325147,306,variables | multivariate |  |  | ,131
2.2208648,11.411353,307,understand | understandable | understands | itable | ,131
5.3701963,11.790913,308,power | powered | powers | cpower | ,130
8.5781145,11.736147,309,bda | nda | mvda | igb | crda,130
4.964909,8.933,310,adoption | imitability |  |  | ,130
3.8465188,10.007027,311,capacity | density | gig |  | ,130
2.5650349,10.772217,312,importance |  |  |  | ,130
2.6109498,11.320016,313,example |  |  |  | ,129
2.458934,12.776756,314,analytics | gdpr | tracker |  | ,129
4.080599,12.081473,315,guide | guided | guideline |  | ,129
4.1817145,14.239375,316,manage | manages | oversaw | managesmofetwnta | managem,129
3.238079,9.655596,317,large | larger | mega | miniature | ,129
8.843672,10.7523365,318,heis | everis | shiels | mateis | histo,129
0.9363345,10.9741335,319,taking | takeout | takeaways | uptake | takeaway,128
3.1232178,11.688878,320,aspects |  |  |  | ,128
8.5746765,11.099954,321,staf | stafing |  |  | ,128
2.3129873,12.705984,322,evaluate |  |  |  | ,128
2.444433,9.228064,323,twin |  |  |  | ,128
4.368759,11.4719305,324,agility |  |  |  | ,127
3.8485854,11.143354,325,potential | potentialy | potentials | potentializes | ,127
3.375954,13.612759,326,working | workshet |  |  | ,127
3.1581438,10.741457,327,problems | complaints |  |  | ,127
4.3828645,13.859039,328,master | masters | maestro | mcmaster | sire,127
3.6687858,13.123662,329,user | roger |  |  | ,127
1.8857093,11.276462,330,regarding | concerning |  |  | ,126
3.1012013,12.114151,331,view | views | preview | viewer | geoviewers,126
2.6014616,14.587553,332,investment | investiture |  |  | ,125
3.2680595,12.699796,333,together | unite | couple | unites | reunin,125
1.9366292,9.791932,334,like |  |  |  | ,125
5.266959,12.659239,335,web | webinar | webap | webtag | researchchapter,125
5.8338556,12.268745,336,networks | traceability | neuron | neural | networkability,124
3.206585,10.630199,337,solutions | solms |  |  | ,124
4.1663194,8.743647,338,improvement |  |  |  | ,124
4.555305,9.934209,339,set |  |  |  | ,124
2.9145856,9.744868,340,without |  |  |  | ,124
2.184387,12.043432,341,term | terminology | phrase | dictionary | ,124
2.2425456,11.110546,342,requirements |  |  |  | ,124
5.6888824,11.21837,343,elements |  |  |  | ,124
7.906975,9.587898,344,efective | virality | efecting |  | ,124
4.9435673,14.347631,345,competence | competent | confirmatory | competences | poised,123
4.4686003,11.312593,346,section | urlsection |  |  | ,123
1.6534486,10.198282,347,would |  |  |  | ,122
2.1184993,10.389896,348,best | worse | worst | hotest | ,122
0.9639835,10.245217,349,selected | shortlisted | opted | nominated | unchecked,121
2.9571042,10.793835,350,traditional | traditionaly |  |  | ,120
3.440327,10.99123,351,ensure | ensures | verifies |  | ,120
4.9655776,12.95455,352,libraries | librarychapter |  |  | ,120
2.239213,11.562063,353,validity |  |  |  | ,120
2.1329734,9.172939,354,others |  |  |  | ,120
3.74377,12.920283,355,participants | participantes |  |  | ,119
5.1803064,9.341596,356,generate |  |  |  | ,119
3.23805,12.830181,357,relationships |  |  |  | ,119
5.9833727,10.64691,358,external | standalone | externaly | externalities | ,118
5.518281,11.039407,359,face | faces | facial | nasal | breast,118
5.418132,10.167013,360,structural |  |  |  | ,117
2.173933,10.834787,361,relevant |  |  |  | ,117
4.416979,10.52008,362,deployment | deployed | deploying | deploy | deployments,117
2.8087342,11.906288,363,conceptual | conceptualy |  |  | ,117
7.5486646,9.50129,364,adres | adreses | admn | ades | adriz,116
1.6343741,10.272669,365,could | might |  |  | ,116
4.988225,9.723517,366,construct |  |  |  | ,116
3.1890464,12.208841,367,presents | gift | gifts | decoration | ,116
5.259332,13.7751255,368,readines | reades | plines | readnines | fixes,115
6.084097,12.3309145,369,chain | chains | verity |  | ,115
4.948759,14.861351,370,institution |  |  |  | ,115
5.0386543,14.788033,371,profesionals |  |  |  | ,115
5.107865,9.720019,372,constructs | constructivism |  |  | ,114
2.1513608,11.678451,373,result | postulated |  |  | ,113
3.132671,11.00442,374,basic | basics | basicaly | simplicity | minimalist,113
5.8421955,14.958367,375,cambridge | houghton | exeter |  | ,113
2.3405633,9.990469,376,various |  |  |  | ,113
1.9081273,8.752069,377,five | fifth | fifthly |  | ,113
1.6547648,11.649286,378,questionaire |  |  |  | ,113
3.153594,12.082509,379,due |  |  |  | ,113
8.098006,8.637024,380,asesment | asesments | asiduously | ascertain | ,112
2.847088,10.82695,381,standards |  |  |  | ,112
6.2551866,13.603281,382,geological | backbone | geology | topographic | sedimentary,112
5.2822156,9.692217,383,build | builds |  |  | ,112
2.662493,12.218793,384,report | reported | complain |  | ,112
4.3852515,10.676416,385,operational | operationalize | operationalized | operationalizations | ,112
6.6016736,12.832855,386,car | automobile | gta | lex | volkswagen,111
7.472432,7.679642,387,suces | suceses | sucesors | suaves | ,111
3.924928,12.523845,388,shows |  |  |  | ,111
5.7792764,12.28498,389,computer | salesforce | unix | keyboard | desktop,111
1.9422996,10.653184,390,likewise |  |  |  | ,111
4.617187,10.263565,391,implement | implementacin | implementar |  | ,111
6.1497583,10.114675,392,integrated |  |  |  | ,111
1.9886358,8.855131,393,four |  |  |  | ,110
4.009225,10.527482,394,ability |  |  |  | ,110
3.9148638,9.56765,395,range | ranging | ranges |  | ,110
1.0392895,10.333679,396,decisions | consideration |  |  | ,110
2.6658409,8.7798815,397,next | nextgen |  |  | ,110
2.145856,11.606258,398,validation | validations |  |  | ,110
3.9751236,12.738462,399,conference | conferences | arena |  | ,109
7.907691,13.98533,400,china |  |  |  | ,109
3.1089377,8.972205,401,long | wait |  |  | ,109
7.4062924,9.375192,402,aplications | anotations | implicaciones | conotation | ,108
2.1779113,9.1107855,403,multiple | plurality | multistate | multisided | ,108
3.7203457,8.775314,404,trends |  |  |  | ,107
3.8109558,14.592315,405,enterprise | sap | enterprisechapter |  | ,106
4.396803,10.446719,406,focused |  |  |  | ,106
5.055274,8.988264,407,generation | gen | generational |  | ,106
5.3191104,9.746076,408,built | constructed |  |  | ,106
7.6104856,11.948001,409,virtual | virtualization | vrontis | virtualisation | vse,106
8.826873,10.774535,410,psl | psy | pst |  | ,105
4.576092,10.592598,411,operations |  |  |  | ,104
1.6442622,10.114653,412,course |  |  |  | ,104
2.4712067,9.877923,413,include | featuring |  |  | ,104
4.9470077,14.765314,414,profesor | profesora | demonstrator |  | ,104
6.5967307,12.833819,415,carsharing |  |  |  | ,104
4.253077,13.186524,416,policies | policymaking | policymakers | policyholders | ,104
2.3381555,11.487189,417,point |  |  |  | ,104
1.2671818,11.05395,418,given |  |  |  | ,104
4.9202886,9.187777,419,become | became |  |  | ,103
5.432905,12.09952,420,computing | computational | computerized | computerization | turing,103
1.7351149,11.304847,421,said | told | remarked | sad | ,103
0.8968012,13.279844,422,inovative |  |  |  | ,103
5.3532453,9.955152,423,building | builders | builderbox |  | ,103
3.6921487,10.671875,424,life |  |  |  | ,103
2.1078246,11.396071,425,know | knows | knowhow |  | ,102
4.519915,10.736296,426,operation |  |  |  | ,102
2.5282214,9.376727,427,finaly | finalizing |  |  | ,102
7.930745,13.994614,428,brazil | portugal | brasil | argentina | porto,102
1.6545125,10.812086,429,consider |  |  |  | ,102
2.5378015,10.362287,430,significant |  |  |  | ,102
6.2476163,10.908484,431,smart | smartboards | smartdrive | onedrive | smartpls,102
5.806724,12.279811,432,platforms |  |  |  | ,102
3.300945,10.265979,433,values |  |  |  | ,102
4.1600695,11.825108,434,practice |  |  |  | ,102
5.7462144,11.779298,435,energy | energetic | energyintroduction | energies | ,102
2.9564946,14.160343,436,sales | salespeople |  |  | ,102
3.7645814,12.05345,437,guidelines |  |  |  | ,102
7.4703517,7.6719,438,sucesful | unsucesful | purposeful |  | ,101
1.6704326,12.21296,439,definition |  |  |  | ,101
2.8949301,9.238527,440,around |  |  |  | ,101
4.451496,9.89331,441,dynamic | dynamicaly |  |  | ,101
6.9276395,11.05636,442,coperation | coperate | coperating | coper | ,101
4.203702,14.312308,443,managers |  |  |  | ,100
4.5094748,9.0010805,444,revolution | visionary | revolutions | revolutionary | thefourthindustrialrevolutionklauss,100
4.184694,13.761193,445,control | controled | controling | controls | manipulation,100
6.2607303,13.294502,446,roadmap | roadmaping | roadmaps |  | ,100
2.8734787,10.162684,447,average | averaged | averaging |  | ,100
4.254911,10.61724,448,phase |  |  |  | ,100
5.389263,10.090365,449,structures | structurational | morphology | morphological | macrostructure,99
